EPSON PRECISION (JOHOR) SDN. BHD.;07-2370933;N0. 31 & 31A, JALAN KEMPAS BARU,KEMPAS BARU,JOHOR BAHRU;80000;JOHOR
ESRA TECHNOLOGY SDN. BHD;03-4161 0607;9157B, JALAN BANDAR 4,TAMAN MELAWATIKUALA LUMPUR;53100;KUALA LUMPUR
EVYAP MALAYSIA SDN BHD;+607 252 7000;PLO JALAN NIBONG 4,TANJUNG LANGSAT INDUSTRIAL ESTATEPASIR GUDANG;81700;JOHOR
EXABYTES NETWORK SDN BHD;04-6308283;1-18-8, SUNTECH @ PENANG CYBERCITY,LINTANG MAYANG PASIR 3,BAYAN BARU;11950;PULAU PINANG
EXPRESS RAIL LINK SDN BHD;011-11171005;LEVEL 2, KL CITY AIR TERMINALKL SENTRAL STATIONKUALA LUMPUR;50470;KUALA LUMPUR
F2SPRO TECHNOLOGY SDN BHD;06-337 0840;NO.19-1 JALAN ANGGERIK 1TAMAN PAYA RUMPUT PERDANAPAYA RUMPUT;76450;MELAKA
FAITHTECH SOLUTIONS PLT;03 - 8912 8443;NO 46A, JALAN MEDAN PUSAT 2C,SEKSYEN 9,BANDAR BARU BANGI;43650;SELANGOR
FAIZ RICE SDN BHD;07-428 0866;LOT PTD 8303, JALAN BUDI 14,TAMAN INDUSTRI WAWASAN OFF JALAN TANJUNG LABUHBATU PAHAT;83000;JOHOR
FASHIONHOMEZ ONLINE STORE;019-9181238;20, JALAN SERI 5,TAMAN CHENG BARU,MELAKA;75250;MELAKA
FELDA-JOHORE BULKERS SDN BHD;+607 2511 830;LORONG SAWIT SATU,JOHOR PORT AREAPASIR GUDANG;81700;JOHOR
GLENEAGLES MEDINI HOSPITAL;+60 7-560 1000;NO. 2, JALAN MEDINI UTARA 4,MEDINI ISKANDARISKANDAR PUTERI;79250;JOHOR
GLOBAL NETZ SOLUTION;603-51214136;38A-2 JALAN ANGGERIK VANILLA W 31/W,KOTA KEMUNINGSHAH ALAM;40460;SELANGOR
GNT PREMIUM SOLUTION SDN BHD;(603)80707897;NO.1PERSIARAN PUCHONG JAYA SELATANPUCHONG;47100;SELANGOR
GOLDMIND EVOLUTION SDN BHD;127237477;EVO LEARNING CENTRE , TINGKAT 2,JALAN REKO SENTRAL 1, TAMAN REKO SENTRALKAJANG;43000;SELANGOR
GROUP RISK MANAGEMENT;03-23927271;LEVEL 49, TOWER 1, PETRONAS TWIN TOWER,KUALA LUMPUR CONVENTION CENTREKUALA LUMPUR;50088;KUALA LUMPUR
HAZKEY TECHNOLOGY SDN BHD;;NO 184G JALAN LAVENDER HEIGHT 5,PUSAT PERNIAGAAN LAVENDER HEIGHT, SENAWANG;70450;N.SEMBILAN
HEITECH PADU BERHAD;03-8601 3000;TINGKAT 15, HEITECH VILLAGEUSJ 1, PERSIARAN KEWAJIPANSUBANG JAYA;43200;SELANGOR
HJS MARITIME SDN BHD;;10, JALAN BADMINTON 13/29,TADISMA BUSINESS PARK,SHAH ALAM;40100;SELANGOR
HONDA MALAYSIA SDN BHD;06-5591500;PT 75-79, HICOM PEGOH INDUSTRIAL PARKALOR GAJAHALOR GAJAH;78000;MELAKA
HOSPITAL TANAH MERAH;09-9545000;HOSPITAL TANAH MERAH,TANAH MERAHTANAH MERAH;17500;KELANTAN
IBU PEJABAT POLIS KONTINJEN MELAKA, PDRM;06-2854222;JALAN AYER KEROH LAMA, BUKIT BERUANG;75450;MELAKA
IBU PEJABAT POLIS KONTINJEN NEGERI SEMBILAN;03-22668061;IBU PEJABAT POLIS KONTINJEN NEGERI SEMBILAN,POLIS DIRAJA MALAYSIA, JALAN CAMPBELL,SEREMBAN;70710;N.SEMBILAN
IFFCO (MALAYSIA) SDN. BHD;016-8788008;PLO 406,JALAN EMASPASIR GUDANG;81700;JOHOR
INFINEON;06-2515363;BATU BERENDAM FREE TRADE ZONEP.O BOX 52BATU BERENDAM;75350;MELAKA
INFINEON TECHNOLOGIES (MALAYSIA) SDN BHD;06-2325266;FREE TRADE ZONE, BATU BERENDAM,BATU BERENDAM;75359;MELAKA
INFINITE LOGIX SYSTEM PLT;+607- 267 0108;52-02, JALAN SETIA TROPIKA 1/18,SETIA TROPIKAJOHOR BAHRU;81200;JOHOR
INSPIDEA SDN BHD;603-7880 9934;G-G-03A,GLOMAC SQUAREPETALING JAYA;47301;SELANGOR
INSTITUT KEMAHIRAN BELIA NEGERI MIRI;085-660 714;BANDAR BARU PERMYJAYA,JALAN PERMYJAYAMIRI;98000;SARAWAK
INSTITUT LATIHAN PERINDUSTRIAN;04-5776100;LOT 2022, JALAN TUN HAMDARI SHEIKH TAHIR,KEPALA BATAS;13200;PULAU PINANG
INSTITUT PENDIDIKAN GURU KAMPUS PEREMPUAN MELAYU MELAKA;06-2824827;INSTITUT PENDIDIKAN GURU,KAMPUS PEREMPUAN MELAYUDURIAN DAUN;75400;MELAKA
INSTITUT PERUBATAN DAN PERGIGIAN TERMAJU;04-5622417;(ADVANCED MEDICAL & DENTAL INSTITUTE)UNIVERSITI SAINS MALAYSIA, BERTAM,SEBERANG PERAI UTARA;13200;PULAU PINANG
INTEGRASI PINTAR SDN BHD;06-763 3141;60, JALAN MSJ 3,KAWASAN PERUSAHAAN SENAWANG,SENAWANG;70450;N.SEMBILAN
INTEGRO TECHNOLOGIES SDN BHD;03-22614079;SUITE 2B-21-3,LEVEL 21, BLOCK 2B,PLAZA SENTRAL, JALAN STESEN SENTRAL 5KL SENTRAL;50470;KUALA LUMPUR
INTEL CORPORATION;44330000;LOT 8, JLN HI-TECH 2/3KULIM HI-TECH PARKKULIM;9000;KEDAH
IQOR GLOBAL SERVICES MALAYSIA SDN BHD;604-6329-224;HILIR SUNGAI KLUANG 2,BAYAN LEPAS FREE INDUSTRIAL ZONE PHASE 4BAYAN LEPAS;11900;PULAU PINANG
IRIDEA (M) SDN BHD.;03-80702457;NO.11, 2ND FLOOR,JALAN BK5A/3A, KINRARA STRAITS ONEBANDAR KINRARA;47180;SELANGOR
ISCADA NET SDN BHD;1-700-81-5124;WISMA IS.NET, B7-2-10, B7-3-10, B7-3A-10,JALAN TEKNOLOGI 2/1E, KOTA DAMANSARAPETALING JAYA;47810;SELANGOR
IZ TECHNOLOGY RESOURCES ;019-6084662;NO 164, JALAN LAVENDER HEIGHT 4,  LAVENDER HEIGHT BUSINESS SQUARESEREMBAN;70450;N.SEMBILAN
JABATAN HAL EHWAL TERENGGANU;96252525;KOMPLEKS SERI IMAN, PUSAT PENTADBIRAN ISLAM NEGERIJALAN SULTAN MOHAMADKUALA TERENGGANU;20676;TERENGGANU
JABATAN KESIHATAN NEGERI KELANTAN (KESIHATAN KEJURUTERAAN);+60 9-741 3300;WISMA PERSEKUTUAN, TINGKAT 5,JALAN BAYAM,KOTA BHARU;15590;KELANTAN
JABATAN KETUA MENTERI MELAKA (JKMM);06-2307306;ARAS 1, BLOK BENTARA, KOMPLEKS SERI NEGERIHANG TUAH JAYA, AYER KEROHAYER KEROH;75450;MELAKA
JABATAN KETUA MENTERI SARAWAK (UNIT PEMODENAN PERKHIDMATAN NEGERI);082-447298;JABATAN KETUA MENTERI,TINGKAT 12, WISMA BAPA MALAYSIA, PETRA JAYAKUCHING;93502;SARAWAK
KAGUMAS CULINARY ARTS COLLEGE;03-8926 8954;18, JLN 9/3SEKSYEN 9BANDAR BARU BANGI;43650;SELANGOR
KPERAK IMPLEMENTATION AND COORDINATION CORPORATION;05-5261881;LEVEL 17, PERAK TECHNO TRADE CENTRE (PTTC)BANDAR MERU RAYA, OFF JALAN JELAPANGIPOH;30020;PERAK
KPJ HEALTHCARE UNIVERSITY COLLEGE;06-7942692;LOT PT 17010, PERSIARAN SERIEMAS,KOTA SERIEMASNILAI;71800;N.SEMBILAN
KPJ SENTOSA KL SPECIALIST HOSPITAL;(03) 4043-7166;36, JALAN CHEMURKOMPLEKS DAMAI KUALA LUMPURKUALA LUMPUR;60400;KUALA LUMPUR
KPMG PLTD;03-7721 3388;LEVEL 10, KPMG TOWER 8, FIRST AVENUE,BANDAR UTAMAPETALING JAYA;47800;SELANGOR
KUMPULAN SEMESTA SDN BHD;03-55187735;TINGKAT 5, BANGUNAN DARUL EHSAN,NO. 3 , JALAN INDAH, SEKSYEN 14SHAH ALAM;40000;SELANGOR
LEMBAGA TABUNG HAJI;03-20542000;JALAN TUN RAZAK,KUALA LUMPUR;50450;KUALA LUMPUR
LGMS / LE GLOBAL SERVICES SDN. BHD;+603 - 5885 808;B-3A-6-5, SETIAWALK,PERSIARAN WAWASANPUCHONG;47180;SELANGOR
