PERBADANAN KEMAJUAN NEGERI SELANGOR;03-55251257;TINGKAT 2, BLOK B, NO 2 (PRECINT 8.8)JALAN INDAH, SEKSYEN 14SHAH ALAM;40000;SELANGOR
PERBADANAN TEKNOLOGI HIJAU MELAKA;06-3333333;ARAS 3, WISMA NEGERI BANDAR MITCHANG TUAH JAYA, AYER KEROHAYER KEROH;75450;MELAKA
PERTUBUHAN PELADANG KAWASAN ENDAU;07-7943250;PERTUBUHAN PELADANG KAWASAN ENDAUJALAN DATO' MOHD ALIENDAU;86900;JOHOR
PETRONAS;03-20265000 / 03-20515000;TOWER 1, PETRONAS TWIN TOWERS, KUALA LUMPUR CITY CENTREKUALA LUMPUR;50088;KUALA LUMPUR
PETRONAS GAS BERHAD;;SEGAMAT OPERATIONS CENTER KM10, SEGAMAT-KUANTAN HIGHWAYSEGAMAT;81700;JOHOR
PETRONAS LUBRICANTS INTERNATIONAL SDN BHD;60323014054;JALAN PBT 2,KAWASAN PERINDUSTRIAN TANGGA BATUTANJUNG KLING;76400;MELAKA
PIONEER TECHNOLOGY (MALAYSIA) SDN. BHD;06-9502101;NO.5 TANJUNG AGAS INDUSTRIAL AREAMUAR;84000;JOHOR
POLITEKNIK SULTAN ABDUL HALIM MU'ADZAM SHAH;04-9146100;BANDAR DARULAMANJITRAJITRA;6000;KEDAH
PORTAL ONE SDN BHD;378737687;25 - 2, JALAN SS 2/55,SEA PARKPETALING JAYA;47300;SELANGOR
PRESTIGE ATLANTIC ASIA SDN BHD;+60 3-9057 3428;1-2 JLN 5/125D,DESA PETALINGKUALA LUMPUR;57100;KUALA LUMPUR
PRIVASIA;03-7967 9600;UNIT C-21-05, DATARAN 3 TWO SQUARE,NO. 2, JALAN 19/1,PETALING JAYA;46300;SELANGOR
PUSAT LATIHAN TEKNIK BATU PAHAT SDN BHD;-4354450;21-23, SECOND FLOOR,JALAN PENGKAIBATU PAHAT;83000;JOHOR
PUSAT LATIHAN TEKNOLOGI TINGGI (ADTEC) BATU PAHAT;;KM 8 JALAN TANJUNG LABOH, KARUNG BERKUNCI 527, BATU PAHAT;83000;JOHOR
QUANDATICS (M) SDN BHD;016 223 9422;SUITE 3.3, ARAS 3, KOMPLEKS INKUBATOR INOVASI UM,UNIVERSITI MALAYAKUALA LUMPUR;50603;KUALA LUMPUR
RANIA RESOURCES SDN BHD;03-83188228;BANGUNAN SULTAN ISKANDAR (CIQ), BILIK ICT, ARAS 4,JALAN LINGKARAN DALAM,JOHOR BAHRU;80300;JOHOR
RASUMI HEALTH CONSULTANCY SDN BHD;06-6770034;NO. 1 ? 1, JALAN COCO DRIVE 3,TAMAN BANDAR SENAWANG,SEREMBAN;70450;N.SEMBILAN
REDTONE INTERNATIONAL BHD;+60 7 223 6817;NO.16.05, LEVEL 16, CITY SQUARE OFFICE TOWER,106-108, JALAN WONG AH FOOKJOHOR BAHRU;80000;JOHOR
RIO PRODUCTION;60380522222;E-02-08 BLOCK E, PUSAT PERDAGANGAN PUCHONG PRIMA,TAMAN PUCHONG PRIMAPUCHONG;47100;SELANGOR
SALES & MARKETING DIVISION BLENDER SHOP;019-7205711;N0 49, JALAN MASAI UTAMA 1,TAMAN MASAI UTAMAMASAI;81750;JOHOR
