LOXIMITY TECHNOLOGY SDN BHD;607-3888612;NO. 1-35, BLOK B, JALAN PERMAS SENTRAL,BANDAR BARU PERMAS JAYAMASAI;81750;JOHOR
M&C SAATCHI (M) SDN. BHD.;(603) 2094 6355;UNIT 10.2, 10TH FLOOR BANGUNAN MALAYSIAN RE,17 LORONG DUNGUNDAMANSARA HEIGHT;50490;KUALA LUMPUR
MAJLIS AGAMA ISLAM DAN 'ADAT MELAYU PERAK;05 208 4000;TINGKAT 1, KOMPLEKS ISLAM DARUL RIDZUANJALAN PANGLIMA BUKIT GANTANG WAHABIPOH;30000;PERAK
MAJLIS BELIA FELDA MALAYSIA;013-7664800;TINGKAT 32-01-2 ,MENARA FELDA.PLATINUM PARK, NO 11, PERSIARAN KLCC,KUALA LUMPUR;50088;KUALA LUMPUR
MAJLIS DAERAH ROMPIN;+609 4146677;MAJLIS DAERAH ROMPINKUALA ROMPINROMPIN;26800;PAHANG
MAJLIS DAERAH YONG PENG;07-4681026;KM 1JALAN LABISBATU PAHAT;83700;JOHOR
MAJLIS PERBANDARAN JASIN;06-5291245/1811;--JASIN;77000;MELAKA
MAJLIS PERBANDARAN JOHOR BAHRU TENGAH;07-5555000;PEJABAT MAJLIS PERBANDARAN JOHOR BAHRU TENGAH,UNIT LATIHAN & PEMBANGUNAN KERJAYA,SKUDAI;81300;JOHOR
MAJLIS PERBANDARAN PORT DICKSON;06-6471122;KM 1,JALAN PANTAI,PORT DICKSON;71009;N.SEMBILAN
MAJLIS PERBANDARAN TAIPING;05-8080777;JALAN TAMING SARITAIPINGTAIPING;34000;PERAK
MARIAM ABDULLAH CONSTRUCTION SDN BHD;011-16426169;NO 11, JALAN BACHANG BARU 20,TAMAN BACHANG BARU,BACHANG;75350;MELAKA
MARVEL MEDIA;012-5841618;NO. 18-2,PERSIARAN BAYAN INDAH,BAYAN BAY;11900;PULAU PINANG
MAXELL TOHSHIN (M) SDN BHD;06-284 1518;TAMAN PERINDUSTRIAN BATU BERENDAMBATU BERENDAMBATU BERENDAM;75350;MELAKA
MAYBANK;03-20708833;LEVEL 15, MENARA MAYBANK100, JALAN TUN PERAKKUALA LUMPUR;50050;KUALA LUMPUR
MCSB SYSTEMS (PG) SDN.BHD.;(604) 892 6500;SUITE 4.01, 4TH FLOOR ISLAND PLAZA,118 JALAN TANJUNG TOKONG,TANJUNG TOKONG;10470;PULAU PINANG
MELAKA TAMING SARI BERHAD;06-2881100;JALAN MERDEKABANDAR HILIRBANDAR HILIR;75200;MELAKA
MESINIAGA BERHAD;(603) 5635 8828;MENARA MESINIAGA1A, JALAN SS16/1,SUBANG JAYA;47500;SELANGOR
META TECHNOLOGY;603-90112413;51-2 JALAN SL 1/4BANDAR SUNGAI LONGKAJANG;43000;SELANGOR
MILLENNIUM SOFTWARE SDN BHD;362731926;24-2, JALAN 6/62A,BANDAR MENJALARAKEPONG;52200;KUALA LUMPUR
MIZ TRAVEL & TOURS SDN BHD;016-4431170;7-1, JALAN DAGANGAN 10,PUSAT BANDAR BERTAM PERDANA, KEPALA BATASBUTTERWORTH;13200;PULAU PINANG
MNRB HOLDINGS BERHAD;320968000;12TH FLOOR, BANGUNAN MALAYSIAN RE,NO 17 LORONG DUNGUN,DAMANSARA HEIGHTS;50490;KUALA LUMPUR
MONALIZA & MASTURA ENTERPRISE SDN. BHD;09-7419232;PT 2303, TINGKAT 1,JALAN HOSPITALKOTA BHARU;15200;KELANTAN
MOVEGIFT ONLINE;019-6123888;11M,JALAN PANDAN INDAH 4/8PANDAN INDAH;56100;KUALA LUMPUR
MOVING WALLS SDN. BHD.;03 7610 2044;L5-E-8, LEVEL 5, ENTERPRISE 4,TECHNOLOGY PARK MALAYSIA,LEBUHRAYA PUCHONG-SG.BESIBUKIT JALIL;57000;KUALA LUMPUR
MS. READ (M) SDN BHD;+60 3-9221 9266;WISMA MS. READ,72, JALAN SUNGAI BESI,CHERAS;55200;KUALA LUMPUR
MYSOFTCARE SOLUTION SDN. BHD.;+609 630 9390;LOT PT 2587, TINGKAT 1,TAMAN ADIS INDAH, JALAN TOK ADIS,KUALA TERENGGANU;20400;TERENGGANU
MYWAM SDN.BHD;03-8070 1818;CP3F-18,IOI BUSINESS PARKBANDAR PUCHONG JAYA;47170;SELANGOR
NAVIA NETWORK SDN BHD;07-2314858;NO 28-01-02, JALAN SETIA TROPIKA 1/18,TAMAN SETIA TROPIKAJOHOR BAHRU;81200;JOHOR
NAZA AUTOMOTIVE MANUFACTURING SDN BHD;04-4669100;LOT 6744 & 7270,KAWASAN PERINDUSTRIAN GURUNGURUN;8300;KEDAH
NERACA NIAGA SDN BHD;06-2336263;NO 1, JALAN TU 43,TAMAN TASIK UTAMA AYER KEROH,AYER KEROH;75450;MELAKA
NET ONBOARD SDN BHD;03-20584799;26-5, PRIMA BIZWALK BUSINESS PARK,JALAN TASIK PRIMA 6/2, TAMAN TASIK PRIMAPUCHONG;47150;SELANGOR
NETIQUETTE SOFTWARE(M) SDN BHD;+60 1700 81 801;UNIT 22-06 & UNIT 22-07, LEVEL 22, TOWER A,VERTICAL BUSINESS SUITE, AVENUE 3, BANGSAR SOUTH,KUALA LUMPUR;59200;KUALA LUMPUR
NETTIUM SDN. BHD.;03 ? 2604 0600;LEVEL 39A & PENTHOUSE, MENARA AIA CAP SQUARENO. 10, JALAN MUNSHI ABDULLAHKUALA LUMPUR;50100;KUALA LUMPUR
NOSAIRIS TECHNOLOGY SOLUTIONS;60 3-2713 9760;CORPORATE OFFICE @ UNIT 9-6, LEVEL 9, TOWER B,VERTICAL BUSINESS SUITE 2, AVENUE 3, BANGSAR SOUTHKUALA LUMPUR;59200;KUALA LUMPUR
OFF PEAK HUB SDN BHD;603-78650592;A-2-07, JALAN SS7/13B,AMANSERI KELANA JAYAPETALING JAYA;47301;SELANGOR
ONE TWO ONE ADVISOR SDN BHD;03-79312122;SUITE 801, LEVEL 8 PJ TOWER,AMCORP TRADE CENTRE, NO. 18, PERSIARAN BARATPETALING JAYA;46050;SELANGOR
OPTIMA INNOVATIONS (M) SDN BHD;+603-7710 2533;UNIT D-3A-52, BLOCK DAHLIA, 10 BOULEVARD,LEBUHRAYA SPRINT, PJU 6A,PETALING JAYA;47400;SELANGOR
OR TECHNOLOGIES SDN BHD;603-50218364;19, JALAN DUACHAN SOW LINKUALA LUMPUR;55200;KUALA LUMPUR
PDR ENGINEERING SDN BHD;013-5212886;Q1, JALAN SM 1C/5,FASA 1C2SERI MANJUNG;32040;PERAK
PEJABAT DAERAH DAN TANAH DUNGUN;;PEJABAT DAERAH DAN TANAH DUNGUNDUNGUN;23000;TERENGGANU
PEJABAT DAERAH DAN TANAH KUALA LIPIS;09-3121963;PEJABAT DAERAH DAN TANAH LIPISKUALA LIPIS;27200;PAHANG
PEJABAT DAERAH DAN TANAH MELAKA TENGAH;06-2327052;ARAS 1,BANGUNAN WISMA NEGERI, HANG TUAH JAYA,AYER KEROH;75450;MELAKA
PEJABAT KWSP;06-9539288;9,JALAN PETRIEMUAR;84000;JOHOR
PEJABAT PENDIDIKAN DAERAH KLUANG;07-7722946;NO 2755,JALAN SENTOSA,KLUANG;86000;JOHOR
PEJABAT PENOLONG NAIB CANSELOR (JARINGAN INDUSTRI DAN MASYARAKAT);06-3316735;UNIVERSITI TEKNIKAL MALAYSIA MELAKA,HANG TUAH JAYADURIAN TUNGGAL;76100;MELAKA
PEJABAT SETIAUSAHA KERAJAAN NEGERI JOHOR;07-2666657;PEJABAT SUK BAHAGIAN PENGURUSAN, ARAS 1,BANGUNAN DATO JAAFAR MUHAMMAD, KOTA ISKANDARJOHOR BAHRU;79100;JOHOR
PEJABAT SETIAUSAHA KERAJAAN NEGERI KELANTAN;09-7481957;BLOK 2, ARAS BAWAH,KOTA DARULNAIMKOTA BHARU;15503;KELANTAN
PEJABAT TANAH DAN JAJAHAN PASIR MAS;09-7917963;KOMPLEKS APAM PUTRA, BANDAR BARU PASIR MASLUBOK JONGPASIR MAS;17000;KELANTAN
PEJABAT TANAH MUAR;+606 9527130;BANGUNAN SULTAN ABU BAKAR,PETI SURAT NO 72, JALAN PETERIMUAR;84007;JOHOR
PERBADANAN BEKALAN AIR PULAU PINANG SDN BHD;04-2634200;TINGKAT 32&33, KOMTAR, JALAN PENANG,JALAN PENANG;10000;PULAU PINANG
